Date,State,Counts
11/09/20,Andhra Pradesh,537687
12/09/20,Andhra Pradesh,547686
13/09/20,Andhra Pradesh,557587
14/09/20,Andhra Pradesh,567123
15/09/20,Andhra Pradesh,575079
16/09/20,Andhra Pradesh,583925
17/09/20,Andhra Pradesh,592760
18/09/20,Andhra Pradesh,601462
19/09/20,Andhra Pradesh,609558
20/09/20,Andhra Pradesh,617776
21/09/20,Andhra Pradesh,625514
22/09/20,Andhra Pradesh,631749
23/09/20,Andhra Pradesh,639302
24/09/20,Andhra Pradesh,646530
25/09/20,Andhra Pradesh,654385
26/09/20,Andhra Pradesh,661458
27/09/20,Andhra Pradesh,668751
28/09/20,Andhra Pradesh,675674
29/09/20,Andhra Pradesh,681161
30/09/20,Andhra Pradesh,687351
01/10/20,Andhra Pradesh,693484
02/10/20,Andhra Pradesh,700235
03/10/20,Andhra Pradesh,706790
04/10/20,Andhra Pradesh,713014
05/10/20,Andhra Pradesh,719256
06/10/20,Andhra Pradesh,723512
07/10/20,Andhra Pradesh,729307
08/10/20,Andhra Pradesh,734427
09/10/20,Andhra Pradesh,739719
10/10/20,Andhra Pradesh,744864
11/10/20,Andhra Pradesh,750517
12/10/20,Andhra Pradesh,755727
13/10/20,Andhra Pradesh,758951
14/10/20,Andhra Pradesh,763573
15/10/20,Andhra Pradesh,767465
16/10/20,Andhra Pradesh,771503
17/10/20,Andhra Pradesh,775470
18/10/20,Andhra Pradesh,779146
19/10/20,Andhra Pradesh,783132
20/10/20,Andhra Pradesh,786050
21/10/20,Andhra Pradesh,789553
22/10/20,Andhra Pradesh,793299
23/10/20,Andhra Pradesh,796919
24/10/20,Andhra Pradesh,800684
25/10/20,Andhra Pradesh,804026
26/10/20,Andhra Pradesh,807023
27/10/20,Andhra Pradesh,808924
28/10/20,Andhra Pradesh,811825
29/10/20,Andhra Pradesh,814774
30/10/20,Andhra Pradesh,817679
31/10/20,Andhra Pradesh,820565
01/11/20,Andhra Pradesh,823348
02/11/20,Andhra Pradesh,825966
03/11/20,Andhra Pradesh,827882
04/11/20,Andhra Pradesh,830731
05/11/20,Andhra Pradesh,833208
06/11/20,Andhra Pradesh,835953
07/11/20,Andhra Pradesh,838363
08/11/20,Andhra Pradesh,840730
09/11/20,Andhra Pradesh,842967
10/11/20,Andhra Pradesh,844359
11/11/20,Andhra Pradesh,846245
12/11/20,Andhra Pradesh,847977
13/11/20,Andhra Pradesh,849705
14/11/20,Andhra Pradesh,851298
15/11/20,Andhra Pradesh,852955
16/11/20,Andhra Pradesh,854011
17/11/20,Andhra Pradesh,854764
18/11/20,Andhra Pradesh,856159
19/11/20,Andhra Pradesh,857395
20/11/20,Andhra Pradesh,858711
21/11/20,Andhra Pradesh,859932
22/11/20,Andhra Pradesh,861092
23/11/20,Andhra Pradesh,862213
24/11/20,Andhra Pradesh,862758
25/11/20,Andhra Pradesh,863843
26/11/20,Andhra Pradesh,864674
27/11/20,Andhra Pradesh,865705
28/11/20,Andhra Pradesh,866438
29/11/20,Andhra Pradesh,867063
30/11/20,Andhra Pradesh,867683
01/12/20,Andhra Pradesh,868064
02/12/20,Andhra Pradesh,868749
03/12/20,Andhra Pradesh,869412
04/12/20,Andhra Pradesh,870076
05/12/20,Andhra Pradesh,870675
06/12/20,Andhra Pradesh,871305
07/12/20,Andhra Pradesh,871972
08/12/20,Andhra Pradesh,872288
09/12/20,Andhra Pradesh,872839
10/12/20,Andhra Pradesh,873457
11/12/20,Andhra Pradesh,873995
12/12/20,Andhra Pradesh,874515
13/12/20,Andhra Pradesh,875025
14/12/20,Andhra Pradesh,875531
15/12/20,Andhra Pradesh,875836
16/12/20,Andhra Pradesh,876336
17/12/20,Andhra Pradesh,876814
18/12/20,Andhra Pradesh,877348
19/12/20,Andhra Pradesh,877806
20/12/20,Andhra Pradesh,878285
21/12/20,Andhra Pradesh,878723
22/12/20,Andhra Pradesh,878937
23/12/20,Andhra Pradesh,879339
24/12/20,Andhra Pradesh,879718
25/12/20,Andhra Pradesh,880075
26/12/20,Andhra Pradesh,880430
27/12/20,Andhra Pradesh,880712
28/12/20,Andhra Pradesh,881061
29/12/20,Andhra Pradesh,881273
30/12/20,Andhra Pradesh,881599
31/12/20,Andhra Pradesh,881948
01/01/21,Andhra Pradesh,882286
02/01/21,Andhra Pradesh,882612
03/01/21,Andhra Pradesh,882850
04/01/21,Andhra Pradesh,883082
05/01/21,Andhra Pradesh,883210
06/01/21,Andhra Pradesh,883587
07/01/21,Andhra Pradesh,883876
08/01/21,Andhra Pradesh,884171
09/01/21,Andhra Pradesh,884490
10/01/21,Andhra Pradesh,884689
11/01/21,Andhra Pradesh,884916
12/01/21,Andhra Pradesh,885037
13/01/21,Andhra Pradesh,885234
14/01/21,Andhra Pradesh,885437
15/01/21,Andhra Pradesh,885616
16/01/21,Andhra Pradesh,885710
17/01/21,Andhra Pradesh,885824
18/01/21,Andhra Pradesh,885985
19/01/21,Andhra Pradesh,886066
20/01/21,Andhra Pradesh,886245
21/01/21,Andhra Pradesh,886418
22/01/21,Andhra Pradesh,886557
23/01/21,Andhra Pradesh,886694
24/01/21,Andhra Pradesh,886852
25/01/21,Andhra Pradesh,887010
26/01/21,Andhra Pradesh,887066
27/01/21,Andhra Pradesh,887238
28/01/21,Andhra Pradesh,887349
29/01/21,Andhra Pradesh,887466
30/01/21,Andhra Pradesh,887591
31/01/21,Andhra Pradesh,887720
01/02/21,Andhra Pradesh,887836
02/02/21,Andhra Pradesh,887900
03/02/21,Andhra Pradesh,888004
04/02/21,Andhra Pradesh,888099
05/02/21,Andhra Pradesh,888178
06/02/21,Andhra Pradesh,888275
07/02/21,Andhra Pradesh,888350
08/02/21,Andhra Pradesh,888423
09/02/21,Andhra Pradesh,888485
10/02/21,Andhra Pradesh,888555
11/02/21,Andhra Pradesh,888605
12/02/21,Andhra Pradesh,888692
13/02/21,Andhra Pradesh,888760
14/02/21,Andhra Pradesh,888814
15/02/21,Andhra Pradesh,888869
16/02/21,Andhra Pradesh,888899
17/02/21,Andhra Pradesh,888959
18/02/21,Andhra Pradesh,889010
19/02/21,Andhra Pradesh,889077
20/02/21,Andhra Pradesh,889156
21/02/21,Andhra Pradesh,889210
22/02/21,Andhra Pradesh,889298
23/02/21,Andhra Pradesh,889339
24/02/21,Andhra Pradesh,889409
25/02/21,Andhra Pradesh,889503
26/02/21,Andhra Pradesh,889585
27/02/21,Andhra Pradesh,889681
28/02/21,Andhra Pradesh,889799
01/03/21,Andhra Pradesh,889916
02/03/21,Andhra Pradesh,889974
03/03/21,Andhra Pradesh,890080
04/03/21,Andhra Pradesh,890215
05/03/21,Andhra Pradesh,890317
06/03/21,Andhra Pradesh,890441
07/03/21,Andhra Pradesh,890556
08/03/21,Andhra Pradesh,890692
09/03/21,Andhra Pradesh,890766
10/03/21,Andhra Pradesh,890884
11/03/21,Andhra Pradesh,890884
12/03/21,Andhra Pradesh,891004
13/03/21,Andhra Pradesh,891388
14/03/21,Andhra Pradesh,891563
15/03/21,Andhra Pradesh,891861
16/03/21,Andhra Pradesh,892008
17/03/21,Andhra Pradesh,892269
18/03/21,Andhra Pradesh,892522
19/03/21,Andhra Pradesh,892740
20/03/21,Andhra Pradesh,892986
21/03/21,Andhra Pradesh,893366
22/03/21,Andhra Pradesh,893734
23/03/21,Andhra Pradesh,894044
24/03/21,Andhra Pradesh,894536
25/03/21,Andhra Pradesh,895121
26/03/21,Andhra Pradesh,895879
27/03/21,Andhra Pradesh,896863
28/03/21,Andhra Pradesh,897810
29/03/21,Andhra Pradesh,898815
30/03/21,Andhra Pradesh,899812
31/03/21,Andhra Pradesh,900805
01/04/21,Andhra Pradesh,901989
02/04/21,Andhra Pradesh,903260
03/04/21,Andhra Pradesh,904548
04/04/21,Andhra Pradesh,905946
05/04/21,Andhra Pradesh,907676
06/04/21,Andhra Pradesh,909002
07/04/21,Andhra Pradesh,910943
08/04/21,Andhra Pradesh,913274
09/04/21,Andhra Pradesh,915832
10/04/21,Andhra Pradesh,918597
11/04/21,Andhra Pradesh,921906
12/04/21,Andhra Pradesh,925401
13/04/21,Andhra Pradesh,928664
14/04/21,Andhra Pradesh,932892
15/04/21,Andhra Pradesh,937049
16/04/21,Andhra Pradesh,942135
17/04/21,Andhra Pradesh,948231
18/04/21,Andhra Pradesh,955455
19/04/21,Andhra Pradesh,962037
20/04/21,Andhra Pradesh,968000
21/04/21,Andhra Pradesh,976987
22/04/21,Andhra Pradesh,986703
23/04/21,Andhra Pradesh,997462
24/04/21,Andhra Pradesh,1009228
25/04/21,Andhra Pradesh,1020926
26/04/21,Andhra Pradesh,1033560
27/04/21,Andhra Pradesh,1043441
28/04/21,Andhra Pradesh,1054875
29/04/21,Andhra Pradesh,1069544
30/04/21,Andhra Pradesh,1084336
01/05/21,Andhra Pradesh,1101690
02/05/21,Andhra Pradesh,1121102
03/05/21,Andhra Pradesh,1145022
04/05/21,Andhra Pradesh,1163994
05/05/21,Andhra Pradesh,1184028
06/05/21,Andhra Pradesh,1206232
07/05/21,Andhra Pradesh,1228186
08/05/21,Andhra Pradesh,1245374
09/05/21,Andhra Pradesh,1265439
10/05/21,Andhra Pradesh,1287603
11/05/21,Andhra Pradesh,1302589
12/05/21,Andhra Pradesh,1322934
13/05/21,Andhra Pradesh,1344386
14/05/21,Andhra Pradesh,1366785
15/05/21,Andhra Pradesh,1388803
16/05/21,Andhra Pradesh,1411320
17/05/21,Andhra Pradesh,1435491
18/05/21,Andhra Pradesh,1454052
19/05/21,Andhra Pradesh,1475372
20/05/21,Andhra Pradesh,1498532
21/05/21,Andhra Pradesh,1521142
22/05/21,Andhra Pradesh,1542079
23/05/21,Andhra Pradesh,1562060
24/05/21,Andhra Pradesh,1580827
25/05/21,Andhra Pradesh,1593821
26/05/21,Andhra Pradesh,1609105
27/05/21,Andhra Pradesh,1627390
28/05/21,Andhra Pradesh,1643557
29/05/21,Andhra Pradesh,1657986
30/05/21,Andhra Pradesh,1671742
31/05/21,Andhra Pradesh,1685142
01/06/21,Andhra Pradesh,1693085
02/06/21,Andhra Pradesh,1704388
03/06/21,Andhra Pradesh,1717156
04/06/21,Andhra Pradesh,1728577
05/06/21,Andhra Pradesh,1738990
06/06/21,Andhra Pradesh,1749363
07/06/21,Andhra Pradesh,1758339
08/06/21,Andhra Pradesh,1763211
09/06/21,Andhra Pradesh,1771007
10/06/21,Andhra Pradesh,1779773
11/06/21,Andhra Pradesh,1787883
12/06/21,Andhra Pradesh,1796122
13/06/21,Andhra Pradesh,1803074
14/06/21,Andhra Pradesh,1809844
15/06/21,Andhra Pradesh,1814393
16/06/21,Andhra Pradesh,1820134
17/06/21,Andhra Pradesh,1826751
18/06/21,Andhra Pradesh,1832902
19/06/21,Andhra Pradesh,1839243
20/06/21,Andhra Pradesh,1844917
21/06/21,Andhra Pradesh,1850563
22/06/21,Andhra Pradesh,1853183
23/06/21,Andhra Pradesh,1857352
24/06/21,Andhra Pradesh,1862036
25/06/21,Andhra Pradesh,1867017
26/06/21,Andhra Pradesh,1871475
27/06/21,Andhra Pradesh,1875622
28/06/21,Andhra Pradesh,1879872
29/06/21,Andhra Pradesh,1882096
30/06/21,Andhra Pradesh,1885716
01/07/21,Andhra Pradesh,1889513
02/07/21,Andhra Pradesh,1893354
03/07/21,Andhra Pradesh,1896818
04/07/21,Andhra Pradesh,1899748
05/07/21,Andhra Pradesh,1902923
06/07/21,Andhra Pradesh,1905023
07/07/21,Andhra Pradesh,1908065
08/07/21,Andhra Pradesh,1911231
09/07/21,Andhra Pradesh,1914213
10/07/21,Andhra Pradesh,1917253
11/07/21,Andhra Pradesh,1920178
12/07/21,Andhra Pradesh,1922843
13/07/21,Andhra Pradesh,1924421
14/07/21,Andhra Pradesh,1926988
15/07/21,Andhra Pradesh,1929579
16/07/21,Andhra Pradesh,1932105
17/07/21,Andhra Pradesh,1934450
18/07/21,Andhra Pradesh,1937122
19/07/21,Andhra Pradesh,1940096
20/07/21,Andhra Pradesh,1941724
21/07/21,Andhra Pradesh,1944222
22/07/21,Andhra Pradesh,1946749
23/07/21,Andhra Pradesh,1948592
24/07/21,Andhra Pradesh,1950339
25/07/21,Andhra Pradesh,1952513
26/07/21,Andhra Pradesh,1954765
27/07/21,Andhra Pradesh,1956392
28/07/21,Andhra Pradesh,1957932
29/07/21,Andhra Pradesh,1959942
30/07/21,Andhra Pradesh,1962049
31/07/21,Andhra Pradesh,1964117
01/08/21,Andhra Pradesh,1966175
02/08/21,Andhra Pradesh,1968462
03/08/21,Andhra Pradesh,1970008
04/08/21,Andhra Pradesh,1971554
05/08/21,Andhra Pradesh,1973996
06/08/21,Andhra Pradesh,1976141
07/08/21,Andhra Pradesh,1978350
08/08/21,Andhra Pradesh,1980258
09/08/21,Andhra Pradesh,1982308
10/08/21,Andhra Pradesh,1983721
11/08/21,Andhra Pradesh,1985182
12/08/21,Andhra Pradesh,1987051
13/08/21,Andhra Pradesh,1988910
14/08/21,Andhra Pradesh,1990656
15/08/21,Andhra Pradesh,1992191
16/08/21,Andhra Pradesh,1993697
17/08/21,Andhra Pradesh,1994606
18/08/21,Andhra Pradesh,1995669
19/08/21,Andhra Pradesh,1997102
20/08/21,Andhra Pradesh,1998603
21/08/21,Andhra Pradesh,2000038
22/08/21,Andhra Pradesh,2001255
23/08/21,Andhra Pradesh,2002340
24/08/21,Andhra Pradesh,2003342
25/08/21,Andhra Pradesh,2004590
26/08/21,Andhra Pradesh,2006191
27/08/21,Andhra Pradesh,2007730
28/08/21,Andhra Pradesh,2009245
29/08/21,Andhra Pradesh,2010566
30/08/21,Andhra Pradesh,2012123
31/08/21,Andhra Pradesh,2013001
01/09/21,Andhra Pradesh,2014116
02/09/21,Andhra Pradesh,2015302
03/09/21,Andhra Pradesh,2016680
04/09/21,Andhra Pradesh,2018200
05/09/21,Andhra Pradesh,2019702
06/09/21,Andhra Pradesh,2021325
07/09/21,Andhra Pradesh,2022064
08/09/21,Andhra Pradesh,2023242
09/09/21,Andhra Pradesh,2024603
10/09/21,Andhra Pradesh,2026042
11/09/21,Andhra Pradesh,2027650
12/09/21,Andhra Pradesh,2028795
13/09/21,Andhra Pradesh,2029985
14/09/21,Andhra Pradesh,2030849
15/09/21,Andhra Pradesh,2031974
16/09/21,Andhra Pradesh,2033419
17/09/21,Andhra Pradesh,2033419
18/09/21,Andhra Pradesh,2034786
19/09/21,Andhra Pradesh,2037353
20/09/21,Andhra Pradesh,2038690
21/09/21,Andhra Pradesh,2039529
22/09/21,Andhra Pradesh,2040708
23/09/21,Andhra Pradesh,2042073
24/09/21,Andhra Pradesh,2043244
25/09/21,Andhra Pradesh,2044490
26/09/21,Andhra Pradesh,2045657
27/09/21,Andhra Pradesh,2046841
28/09/21,Andhra Pradesh,2047459
29/09/21,Andhra Pradesh,2048230
30/09/21,Andhra Pradesh,2049314
01/10/21,Andhra Pradesh,2050324
02/10/21,Andhra Pradesh,2051133
03/10/21,Andhra Pradesh,2051998
04/10/21,Andhra Pradesh,2052763
05/10/21,Andhra Pradesh,2053192
06/10/21,Andhra Pradesh,2053863
07/10/21,Andhra Pradesh,2054663
08/10/21,Andhra Pradesh,2055306
09/10/21,Andhra Pradesh,2055999
10/03/20,Andaman and Nicobar Islands,0
11/03/20,Andaman and Nicobar Islands,0
12/03/20,Andaman and Nicobar Islands,0
13/03/20,Andaman and Nicobar Islands,0
14/03/20,Andaman and Nicobar Islands,0
15/03/20,Andaman and Nicobar Islands,0
16/03/20,Andaman and Nicobar Islands,0
17/03/20,Andaman and Nicobar Islands,0
18/03/20,Andaman and Nicobar Islands,0
19/03/20,Andaman and Nicobar Islands,0
20/03/20,Andaman and Nicobar Islands,0
21/03/20,Andaman and Nicobar Islands,0
22/03/20,Andaman and Nicobar Islands,0
23/03/20,Andaman and Nicobar Islands,0
24/03/20,Andaman and Nicobar Islands,0
25/03/20,Andaman and Nicobar Islands,0
26/03/20,Andaman and Nicobar Islands,1
27/03/20,Andaman and Nicobar Islands,2
28/03/20,Andaman and Nicobar Islands,6
29/03/20,Andaman and Nicobar Islands,9
30/03/20,Andaman and Nicobar Islands,9
31/03/20,Andaman and Nicobar Islands,10
01/04/20,Andaman and Nicobar Islands,10
02/04/20,Andaman and Nicobar Islands,10
03/04/20,Andaman and Nicobar Islands,10
04/04/20,Andaman and Nicobar Islands,10
05/04/20,Andaman and Nicobar Islands,10
06/04/20,Andaman and Nicobar Islands,10
07/04/20,Andaman and Nicobar Islands,10
08/04/20,Andaman and Nicobar Islands,10
09/04/20,Andaman and Nicobar Islands,11
10/04/20,Andaman and Nicobar Islands,11
11/04/20,Andaman and Nicobar Islands,11
12/04/20,Andaman and Nicobar Islands,11
13/04/20,Andaman and Nicobar Islands,11
14/04/20,Andaman and Nicobar Islands,11
15/04/20,Andaman and Nicobar Islands,11
16/04/20,Andaman and Nicobar Islands,11
17/04/20,Andaman and Nicobar Islands,11
18/04/20,Andaman and Nicobar Islands,12
19/04/20,Andaman and Nicobar Islands,14
20/04/20,Andaman and Nicobar Islands,15
21/04/20,Andaman and Nicobar Islands,16
22/04/20,Andaman and Nicobar Islands,17
23/04/20,Andaman and Nicobar Islands,18
24/04/20,Andaman and Nicobar Islands,22
25/04/20,Andaman and Nicobar Islands,27
26/04/20,Andaman and Nicobar Islands,33
27/04/20,Andaman and Nicobar Islands,33
28/04/20,Andaman and Nicobar Islands,33
29/04/20,Andaman and Nicobar Islands,33
30/04/20,Andaman and Nicobar Islands,33
01/05/20,Andaman and Nicobar Islands,33
02/05/20,Andaman and Nicobar Islands,33
03/05/20,Andaman and Nicobar Islands,33
04/05/20,Andaman and Nicobar Islands,33
05/05/20,Andaman and Nicobar Islands,33
06/05/20,Andaman and Nicobar Islands,33
07/05/20,Andaman and Nicobar Islands,33
08/05/20,Andaman and Nicobar Islands,33
09/05/20,Andaman and Nicobar Islands,33
10/05/20,Andaman and Nicobar Islands,33
11/05/20,Andaman and Nicobar Islands,33
12/05/20,Andaman and Nicobar Islands,33
13/05/20,Andaman and Nicobar Islands,33
14/05/20,Andaman and Nicobar Islands,33
15/05/20,Andaman and Nicobar Islands,33
16/05/20,Andaman and Nicobar Islands,33
17/05/20,Andaman and Nicobar Islands,33
18/05/20,Andaman and Nicobar Islands,33
19/05/20,Andaman and Nicobar Islands,33
20/05/20,Andaman and Nicobar Islands,33
21/05/20,Andaman and Nicobar Islands,33
22/05/20,Andaman and Nicobar Islands,33
23/05/20,Andaman and Nicobar Islands,33
24/05/20,Andaman and Nicobar Islands,33
25/05/20,Andaman and Nicobar Islands,33
26/05/20,Andaman and Nicobar Islands,33
27/05/20,Andaman and Nicobar Islands,33
28/05/20,Andaman and Nicobar Islands,33
29/05/20,Andaman and Nicobar Islands,33
30/05/20,Andaman and Nicobar Islands,33
31/05/20,Andaman and Nicobar Islands,33
01/06/20,Andaman and Nicobar Islands,33
02/06/20,Andaman and Nicobar Islands,33
03/06/20,Andaman and Nicobar Islands,33
04/06/20,Andaman and Nicobar Islands,33
05/06/20,Andaman and Nicobar Islands,33
06/06/20,Andaman and Nicobar Islands,33
07/06/20,Andaman and Nicobar Islands,33
08/06/20,Andaman and Nicobar Islands,33
09/06/20,Andaman and Nicobar Islands,33
10/06/20,Andaman and Nicobar Islands,33
11/06/20,Andaman and Nicobar Islands,34
12/06/20,Andaman and Nicobar Islands,38
13/06/20,Andaman and Nicobar Islands,38
14/06/20,Andaman and Nicobar Islands,38
15/06/20,Andaman and Nicobar Islands,38
16/06/20,Andaman and Nicobar Islands,41
17/06/20,Andaman and Nicobar Islands,44
18/06/20,Andaman and Nicobar Islands,44
19/06/20,Andaman and Nicobar Islands,44
20/06/20,Andaman and Nicobar Islands,45
21/06/20,Andaman and Nicobar Islands,47
22/06/20,Andaman and Nicobar Islands,48
23/06/20,Andaman and Nicobar Islands,48
24/06/20,Andaman and Nicobar Islands,50
25/06/20,Andaman and Nicobar Islands,56
26/06/20,Andaman and Nicobar Islands,59
27/06/20,Andaman and Nicobar Islands,72
28/06/20,Andaman and Nicobar Islands,72
29/06/20,Andaman and Nicobar Islands,76
30/06/20,Andaman and Nicobar Islands,90
01/07/20,Andaman and Nicobar Islands,97
02/07/20,Andaman and Nicobar Islands,100
03/07/20,Andaman and Nicobar Islands,109
04/07/20,Andaman and Nicobar Islands,116
05/07/20,Andaman and Nicobar Islands,119
06/07/20,Andaman and Nicobar Islands,125
07/07/20,Andaman and Nicobar Islands,141
08/07/20,Andaman and Nicobar Islands,147
09/07/20,Andaman and Nicobar Islands,149
10/07/20,Andaman and Nicobar Islands,151
11/07/20,Andaman and Nicobar Islands,156
12/07/20,Andaman and Nicobar Islands,163
13/07/20,Andaman and Nicobar Islands,163
14/07/20,Andaman and Nicobar Islands,166
15/07/20,Andaman and Nicobar Islands,166
16/07/20,Andaman and Nicobar Islands,176
